id_caso,código_dane_de_municipio,municipio,departamento,año,mes,día,id_persona,sexo,etnia,ocupación,caletera,campanera,cocinera,comandante,combatiente,contabilidad,entrenamiento,escolta,extorsiones,fabricación_de_otras_armas_no_convencionales,fabricación_y/o_siembra_de_minas_antipersonal,guardia,informante,patrullera,radio_operaciones,raspachín,servicios_de_salud,sicariato,trabajo_organizativo,tráfico_de_estupefacientes,transporte_de_armas,sin_información_de_oficios_realizados,otro_oficio_realizado,edad,latitud,longitud,fecha
313723,13683,SANTA ROSA,BOLIVAR,2004,4,1,355155,MUJER,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),10.469207257,-75.361160527,2004-04-01
313724,13683,SANTA ROSA,BOLIVAR,2004,11,16,355156,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),10.469207257,-75.361160527,2004-11-16
313725,13683,SANTA ROSA,BOLIVAR,2007,10,7,355157,MUJER,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),10.469207257,-75.361160527,2007-10-07
313726,13683,SANTA ROSA,BOLIVAR,2012,2,1,355158,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),10.469207257,-75.361160527,2012-02-01
313727,13683,SANTA ROSA,BOLIVAR,2012,12,5,355159,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),10.469207257,-75.361160527,2012-12-05
313728,13683,SANTA ROSA,BOLIVAR,2013,3,1,355160,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),10.469207257,-75.361160527,2013-03-01
313729,13683,SANTA ROSA,BOLIVAR,2013,5,6,355161,MUJER,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),10.469207257,-75.361160527,2013-05-06
313751,13683,SANTA ROSA,BOLIVAR,2011,1,16,355183,HOMBRE,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ADOLESCENCIA (12-17 AÑOS),10.469207257,-75.361160527,2011-01-16
313771,13683,SANTA ROSA,BOLIVAR,2010,3,1,355203,HOMBRE,INDÍGENA,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),10.469207257,-75.361160527,2010-03-01
313774,13670,SAN PABLO,BOLIVAR,2002,7,8,355206,MUJER,,SIN INFORMACIÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,ADOLESCENCIA (12-17 AÑOS),7.507922612,-74.103569774,2002-07-08
